"Date/Time","Lat","Lon","Base"
"9/1/2014 5:29:00",40.7778,-73.9888,"B02512"
"9/1/2014 5:45:00",40.7501,-74.0025,"B02512"
"9/1/2014 5:55:00",40.7769,-73.9862,"B02512"
"9/1/2014 5:56:00",40.7499,-73.9717,"B02512"
"9/1/2014 6:04:00",40.7513,-73.935,"B02512"
"9/1/2014 6:08:00",40.7291,-73.9813,"B02512"
"9/1/2014 6:14:00",40.7674,-73.9841,"B02512"
"9/1/2014 6:26:00",40.7414,-73.9983,"B02512"
"9/1/2014 6:35:00",40.7685,-73.8626,"B02512"
"9/1/2014 6:43:00",40.8298,-73.9719,"B02512"
"9/1/2014 6:51:00",40.6878,-73.9562,"B02512"
"9/1/2014 6:56:00",40.7686,-73.8626,"B02512"
"9/1/2014 7:01:00",40.7878,-73.5375,"B02512"
"9/1/2014 7:22:00",40.7636,-73.9911,"B02512"
"9/1/2014 7:30:00",40.7364,-73.9966,"B02512"
"9/1/2014 7:33:00",40.7593,-73.9752,"B02512"
"9/1/2014 7:37:00",40.7955,-74.2537,"B02512"
"9/1/2014 7:37:00",40.7303,-73.9998,"B02512"
"9/1/2014 7:41:00",40.756,-73.9728,"B02512"
"9/1/2014 7:58:00",40.7558,-73.9764,"B02512"
"9/1/2014 8:05:00",40.7739,-73.8725,"B02512"
"9/1/2014 8:11:00",40.6788,-73.9586,"B02512"
"9/1/2014 8:13:00",40.6897,-73.9724,"B02512"
"9/1/2014 8:19:00",40.7359,-73.9838,"B02512"
"9/1/2014 8:21:00",40.7312,-74.0047,"B02512"
"9/1/2014 8:25:00",40.7255,-74.01,"B02512"
"9/1/2014 8:30:00",40.7344,-73.9859,"B02512"
"9/1/2014 8:30:00",40.7878,-73.9537,"B02512"
"9/1/2014 8:34:00",40.7666,-73.9903,"B02512"
"9/1/2014 8:37:00",40.751,-74.0337,"B02512"
"9/1/2014 8:40:00",40.764,-73.9793,"B02512"
"9/1/2014 8:44:00",40.7173,-73.9499,"B02512"
"9/1/2014 8:45:00",40.763,-73.9597,"B02512"
"9/1/2014 8:53:00",40.7553,-73.973,"B02512"
"9/1/2014 8:53:00",40.6874,-73.998,"B02512"
"9/1/2014 8:57:00",40.8205,-73.9541,"B02512"
"9/1/2014 8:57:00",40.7459,-73.9883,"B02512"
"9/1/2014 8:57:00",40.7798,-74.0089,"B02512"
"9/1/2014 8:59:00",40.695,-74.178,"B02512"
"9/1/2014 8:59:00",40.695,-74.178,"B02512"
"9/1/2014 9:04:00",40.7375,-73.9799,"B02512"
"9/1/2014 9:04:00",40.722,-73.9882,"B02512"
"9/1/2014 9:05:00",40.7277,-73.9895,"B02512"
"9/1/2014 9:05:00",40.7457,-74.0261,"B02512"
"9/1/2014 9:10:00",40.8449,-73.9371,"B02512"
"9/1/2014 9:10:00",40.5896,-73.7384,"B02512"
"9/1/2014 9:12:00",40.7644,-73.9958,"B02512"
"9/1/2014 9:13:00",40.7275,-74.0386,"B02512"
"9/1/2014 9:14:00",40.7556,-73.9818,"B02512"
"9/1/2014 9:15:00",40.7215,-74.0045,"B02512"
"9/1/2014 9:16:00",40.6917,-73.9425,"B02512"
"9/1/2014 9:17:00",40.7557,-73.9923,"B02512"
"9/1/2014 9:21:00",40.7202,-73.9962,"B02512"
"9/1/2014 9:22:00",40.7324,-73.9971,"B02512"
"9/1/2014 9:23:00",40.7435,-73.9757,"B02512"
"9/1/2014 9:23:00",40.7739,-73.8717,"B02512"
"9/1/2014 9:30:00",40.6211,-73.9903,"B02512"
"9/1/2014 9:34:00",40.7894,-73.9754,"B02512"
"9/1/2014 9:40:00",40.756,-73.9734,"B02512"
"9/1/2014 9:40:00",40.7654,-73.9826,"B02512"
"9/1/2014 9:42:00",40.7629,-73.9815,"B02512"
"9/1/2014 9:42:00",40.7587,-73.9843,"B02512"
"9/1/2014 9:43:00",40.774,-73.8722,"B02512"
"9/1/2014 9:43:00",40.7868,-74.0096,"B02512"
"9/1/2014 9:44:00",40.7493,-73.6195,"B02512"
"9/1/2014 9:51:00",40.752,-73.9772,"B02512"
"9/1/2014 9:54:00",40.7348,-73.9814,"B02512"
"9/1/2014 9:56:00",40.7906,-73.9757,"B02512"
"9/1/2014 9:58:00",40.7621,-73.9744,"B02512"
"9/1/2014 9:58:00",40.7496,-73.9778,"B02512"
"9/1/2014 10:02:00",41.016,-73.6678,"B02512"
"9/1/2014 10:02:00",40.7619,-73.9685,"B02512"
"9/1/2014 10:02:00",40.7382,-74.0073,"B02512"
"9/1/2014 10:08:00",40.7555,-73.936,"B02512"
"9/1/2014 10:09:00",40.6601,-74.1181,"B02512"
"9/1/2014 10:10:00",40.7694,-73.881,"B02512"
"9/1/2014 10:10:00",40.7824,-73.4439,"B02512"
"9/1/2014 10:12:00",40.7587,-73.8918,"B02512"
"9/1/2014 10:13:00",40.7188,-73.9987,"B02512"
"9/1/2014 10:14:00",40.6872,-73.9616,"B02512"
"9/1/2014 10:14:00",40.7667,-73.9973,"B02512"
"9/1/2014 10:17:00",40.7577,-73.9882,"B02512"
"9/1/2014 10:17:00",40.7602,-73.9668,"B02512"
"9/1/2014 10:23:00",40.7272,-74.0061,"B02512"
"9/1/2014 10:24:00",40.7759,-73.9612,"B02512"
"9/1/2014 10:26:00",40.708,-74.0061,"B02512"
"9/1/2014 10:28:00",40.7586,-73.9863,"B02512"
"9/1/2014 10:34:00",40.7594,-73.9748,"B02512"
"9/1/2014 10:35:00",40.7785,-73.9813,"B02512"
"9/1/2014 10:37:00",40.7676,-73.9645,"B02512"
"9/1/2014 10:38:00",40.7642,-73.886,"B02512"
"9/1/2014 10:39:00",40.6467,-73.7894,"B02512"
"9/1/2014 10:40:00",40.777,-73.9792,"B02512"
"9/1/2014 10:42:00",40.8134,-73.9612,"B02512"
"9/1/2014 10:42:00",40.7556,-73.9818,"B02512"
"9/1/2014 10:51:00",40.6784,-73.9272,"B02512"
"9/1/2014 10:52:00",40.9438,-74.0474,"B02512"
"9/1/2014 10:53:00",40.7528,-73.9872,"B02512"
"9/1/2014 10:56:00",40.7577,-73.9747,"B02512"
"9/1/2014 10:57:00",40.7738,-73.8714,"B02512"
"9/1/2014 10:58:00",40.7412,-74.006,"B02512"
"9/1/2014 11:01:00",40.7545,-73.936,"B02512"
"9/1/2014 11:02:00",40.7634,-73.9656,"B02512"
"9/1/2014 11:02:00",40.7799,-73.9742,"B02512"
"9/1/2014 11:05:00",40.7408,-73.9935,"B02512"
"9/1/2014 11:06:00",40.68,-73.9582,"B02512"
"9/1/2014 11:07:00",40.7828,-73.9772,"B02512"
"9/1/2014 11:12:00",40.817,-73.9414,"B02512"
"9/1/2014 11:14:00",40.762,-73.9742,"B02512"
"9/1/2014 11:18:00",40.7707,-73.9633,"B02512"
"9/1/2014 11:18:00",40.7555,-73.9814,"B02512"
"9/1/2014 11:20:00",40.7688,-74.0192,"B02512"
